Religion;IPUMS;NAPP;HL7;LICR;LICR_Class;DBpedia
Wesleyan Methodist;;6300;;5363;5360;http://dbpedia.org/page/Wesleyan_Church
Episcopal Methodist;;6400;;5364;5360;http://dbpedia.org/page/Methodist_Episcopal_Church
Evangelical Methodist;;6450;;5365;5360;
Free Methodist;;6500;;5366;5360;http://dbpedia.org/page/Free_Methodist_Church
German Methodist;;6600;;5367;5360;http://dbpedia.org/page/German_Methodist_Episcopal_Church
African Methodist;;6800;;5368;5360;http://dbpedia.org/page/African_Methodist_Episcopal_Church
Church of the Nazarene;6010;8180;1075;5369;5360;http://dbpedia.org/page/Church_of_the_Nazarene
Baptist;6009;7100;1009;5370;5300;http://dbpedia.org/page/Baptists
Christian Baptist;;7200;;5371;5370;http://dbpedia.org/page/Christian_Baptist
Primitive Baptist;;7300;;5372;5370;http://dbpedia.org/page/Primitive_Baptists
Reformed Baptist;;7500;;5373;5370;http://dbpedia.org/page/Reformed_Baptists
Seventh Day Baptist;;7600;;5374;5370;http://dbpedia.org/page/Seventh_Day_Baptists
Free Baptist;;7700;;5375;5370;http://dbpedia.org/page/Free_Will_Baptist
Christadelphian;;7800;;5376;5370;http://dbpedia.org/page/Christadelphians
Disciple of Christ;;7900;;5377;5370;http://dbpedia.org/page/Christian_Church_(Disciples_of_Christ)
Other Baptist;;7999;;5378;5370;
Calvinist;6167;;;5380;5300;http://dbpedia.org/page/Calvinism
Congregational;6011;4950;1066;5381;5380;http://dbpedia.org/page/Congregational_church
Dutch Reformed;6012;4710;;5382;5380;http://dbpedia.org/page/Dutch_Reformed_Church
German Reformed Church;;4720;;5383;5380;
Church of Scotland;;4600;;5384;5380;http://dbpedia.org/page/Church_of_Scotland
Presbyterian;6020;4100;1076;5385;5380;http://dbpedia.org/page/Presbyterianism
Reformed Presbyterian;;4200;;5386;5380;http://dbpedia.org/page/Reformed_Presbyterian_churches
Canadian Presbyterian;;4250;;5387;5380;http://dbpedia.org/page/Presbyterian_Church_in_Canada
Knox Presbyterian;;4300;;5388;5380;
Presbyterian Episcopal;;4400;;5389;5380;
Anglican;6007;2000;1005;5400;5000;http://dbpedia.org/page/Anglicanism
Anglican Church;;2100;;5410;5400;http://dbpedia.org/page/Anglican_Communion
Church of Ireland;;2500;;5420;5400;http://dbpedia.org/page/Church_of_Ireland
Church of England;6391;;;5430;5400;http://dbpedia.org/page/Church_of_England
Episcopal;6248;2300;1069;5440;5400;http://dbpedia.org/page/Episcopal_Church
Reformed Episcopal;;2400;;5450;5400;http://dbpedia.org/page/Reformed_Episcopal_Church
English Apostolic;;2200;;5460;5400;http://dbpedia.org/page/Apostolic_Church_(denomination)
Nontrinitarian;;;;5500;5000;http://dbpedia.org/page/Nontrinitarianism
Jehovah's Witnesses;6014;;1025;5510;5500;http://dbpedia.org/page/Jehovah%27s_Witnesses
Latter Day Saints (Mormon);6015;8700;1027;5520;5500;http://dbpedia.org/page/Mormons
Church of Christian Scientist;6374;8875;1063;5530;5500;http://dbpedia.org/page/Christian_Science
Iglesia ni Cristo;6318;;;5540;5500;http://dbpedia.org/page/Iglesia_ni_Cristo
Other Christian;6293;;;5600;5000;
Other Netherlands;;;;5610;5600;
Other Christian Brazil;;;;5620;5600;
