volgnr1z,buurtz,gebplmz,gebjrmz,relimz,bsmz,bersmz,berpmz,gebjrvz,gebplvaz,relivz,nrkindz,nrbodez,nrhgz,relhfdz,grondblz,pblz,patblz,totblz,jrhu1z,bervamz,bervavz,bermhuz,bervhuz,bergt1z,relgt1z,bergt2z,relgt2z,bergt3z,relgt3z,bergt4z,relgt4z,hugeldz,hulftaz,volgnr2z,hulftbz,bsvz,gebplvbz,vamasdz,pblvamz,vavasdz,pblvavz
235151,27,1,1838,7,1,239,650,1843,1,7,0,1,1,2,0,147,47,194,1869,321,220,650,0,321,1,250,2,540,6,610,6,2,31,235152,25,3,1,0,0,1,85
235201,34,2,1853,1,1,255,232,1853,3,3,3,2,0,-1,0,208,47,255,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,235202,-1,-1,-1,-1,-1,-1,-1
235251,33,1,1827,1,2,370,700,1822,1,1,1,0,0,-1,0,153,115,268,1855,540,650,610,0,111,2,610,2,540,5,110,7,0,27,235252,22,3,1,1,0,1,259
235301,8,3,1847,1,1,20,210,1854,3,5,2,2,0,-1,57,74,59,190,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,235302,-1,-1,-1,-1,-1,-1,-1
235351,25,1,1830,8,1,190,610,1832,1,8,0,1,0,-1,39,90,36,165,1872,0,540,220,0,540,2,650,3,540,3,540,7,2,41,235352,44,3,1,0,0,1,0
235401,37,2,1845,11,1,190,220,1849,3,11,5,3,1,2,65,32,31,128,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,235402,-1,-1,-1,-1,-1,-1,-1
235451,23,1,1842,1,1,207,240,1849,1,1,3,0,1,2,0,36,119,155,1869,0,310,350,0,310,6,210,7,610,7,310,7,0,27,235452,20,3,1,0,0,1,0
235501,49,3,1841,1,1,190,610,1848,1,5,1,0,1,2,0,59,138,197,1877,540,680,610,0,442,7,210,2,680,5,610,7,0,35,235502,29,3,1,0,0,1,134
235551,2,1,1840,1,2,190,610,1838,1,1,1,3,1,2,0,238,119,357,1864,610,0,610,0,650,5,610,6,450,3,610,3,4,24,235552,25,3,1,1,355,0,0
235601,29,2,1840,1,1,32,214,1842,1,1,3,1,0,-1,196,28,31,255,1870,0,220,211,0,210,2,430,2,610,5,220,7,2,30,235602,25,3,1,0,0,1,28
235651,3,1,1846,10,1,190,610,1847,1,10,3,2,0,-1,0,183,129,312,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,235652,-1,-1,-1,-1,-1,-1,-1
235701,26,1,1842,1,1,50,210,1843,1,6,4,2,0,-1,89,48,0,137,1869,210,0,210,0,210,2,210,2,210,5,210,7,2,26,235702,26,3,1,1,33,0,0
235751,45,1,1853,1,1,202,254,1853,1,1,1,3,0,-1,18,136,19,173,1874,610,610,610,0,540,5,610,7,650,7,540,7,0,21,235752,21,3,1,1,0,1,0
235801,9,2,1859,8,3,190,610,-1,-1,-1,0,0,0,-1,0,0,119,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,235802,-1,-1,-1,-1,-1,-1,-1
235851,17,1,1841,1,1,10,210,1842,2,1,4,1,0,-1,131,104,67,301,1868,210,410,210,0,540,2,540,2,410,5,610,6,2,26,235852,25,3,2,1,43,1,62
235901,36,1,1807,1,1,238,680,1844,3,1,0,3,0,-1,87,284,88,460,1834,680,420,540,0,680,1,420,4,650,7,410,7,0,27,235902,25,3,3,1,0,1,0
235951,10,1,1820,6,1,304,420,1831,1,1,3,1,0,-1,98,62,0,160,1853,211,610,420,0,210,6,360,6,610,7,240,7,2,32,235952,21,3,1,1,0,1,23
236001,7,1,1843,2,1,190,610,1847,3,2,0,2,0,-1,0,292,178,470,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,236002,-1,-1,-1,-1,-1,-1,-1
236051,10,2,1840,8,1,190,610,1847,1,8,0,3,0,-1,0,88,26,113,1877,410,0,610,0,610,5,321,5,610,5,610,2,0,40,236052,29,3,1,0,0,0,0
236101,35,1,1840,3,1,190,610,1838,1,3,0,0,0,-1,47,117,8,172,1866,0,540,610,0,420,2,360,2,540,7,540,7,2,25,236102,28,3,1,0,0,1,60
236151,47,1,1848,8,1,190,610,1838,1,8,2,2,0,-1,34,36,119,189,1875,322,650,190,0,680,2,213,3,210,6,220,6,0,26,236152,36,3,1,1,0,1,0
236201,10,1,1845,1,1,190,220,1858,1,6,2,2,0,-1,42,85,20,147,1881,0,610,220,0,650,6,610,3,210,7,443,7,0,35,236202,22,3,1,0,0,1,101
236251,35,2,1838,8,3,303,233,-1,-1,-1,0,1,2,2,0,108,87,195,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,236252,-1,-1,-1,-1,-1,-1,-1
236301,20,2,1834,9,1,190,220,1831,2,9,3,3,0,-1,44,60,22,126,1862,610,540,310,1,610,2,610,2,215,2,340,5,1,26,236302,29,3,2,0,0,0,0
236351,20,3,1829,8,1,207,240,1837,3,8,8,0,1,2,25,67,87,179,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,236352,-1,-1,-1,-1,-1,-1,-1
236401,49,1,1832,1,1,190,220,1830,2,1,2,0,0,-1,86,25,4,115,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,236402,-1,-1,-1,-1,-1,-1,-1
236451,12,1,1840,2,3,160,112,-1,-1,-1,0,0,0,-1,0,0,119,119,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,236452,-1,-1,-1,-1,-1,-1,-1
236501,6,3,1836,8,1,230,650,1830,1,8,3,2,0,-1,18,47,48,113,1864,610,610,610,0,321,5,610,5,610,5,610,2,1,27,236502,24,3,1,0,0,1,0
236551,21,1,1838,2,3,190,610,-1,-1,-1,0,2,2,2,34,84,238,355,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,236552,-1,-1,-1,-1,-1,-1,-1
