obs,pop,buurt,buurt
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O72-h,8,Buurt B.B,https://adamlink.nl/geo/district/buurt-bb/126
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-P72-h,21,Buurt B.B,https://adamlink.nl/geo/district/buurt-bb/126
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-Q72-h,51,Buurt B.B,https://adamlink.nl/geo/district/buurt-bb/126
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-R72-h,20,Buurt B.B,https://adamlink.nl/geo/district/buurt-bb/126
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-F48-h,501,Buurt C,https://adamlink.nl/geo/district/buurt-c/141
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-G48-h,2,Buurt C,https://adamlink.nl/geo/district/buurt-c/141
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-J48-h,1185,Buurt C,https://adamlink.nl/geo/district/buurt-c/141
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-K48-h,2897,Buurt C,https://adamlink.nl/geo/district/buurt-c/141
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-L48-h,3346,Buurt C,https://adamlink.nl/geo/district/buurt-c/141
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-M48-h,2875,Buurt C,https://adamlink.nl/geo/district/buurt-c/141
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-N48-h,3327,Buurt C,https://adamlink.nl/geo/district/buurt-c/141
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-O48-h,22,Buurt C,https://adamlink.nl/geo/district/buurt-c/141
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-P48-h,19,Buurt C,https://adamlink.nl/geo/district/buurt-c/141
http://lod.cedar-project.nl:8888/cedar/resource/VT_1869_01_H1-S3-Q48-h,50,Buurt C,https://adamlink.nl/geo/district/buurt-c/141
