rij,cel,obs,pop,,,,,
136,I136,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I136-h,1,136,Buurt IJ,https://adamlink.nl/geo/district/buurt-y/137,Swigters familiënhofje,Kom
137,I137,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I137-h,1,137,Buurt IJ,https://adamlink.nl/geo/district/buurt-y/137,Het Falckhuis,Kom
138,I138,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I138-h,1,138,Buurt IJ,https://adamlink.nl/geo/district/buurt-y/137,"Gesticht Brentano ""Steun des Ouderdoms""",Kom
139,I139,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I139-h,466,139,Buurt IJ,https://adamlink.nl/geo/district/buurt-y/137,Overige huizen,Kom
140,I140,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I140-h,817,140,Buurt Z,https://adamlink.nl/geo/district/buurt-z/138,,Kom
141,I141,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I141-h,1,141,Buurt AA,https://adamlink.nl/geo/district/buurt-aa/128,Doopsgezinde Oude vrouwenhuis,Kom
142,I142,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I142-h,10,142,Buurt AA,https://adamlink.nl/geo/district/buurt-aa/128,Looijerstraat,Kom
143,I143,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I143-h,682,143,Buurt AA,https://adamlink.nl/geo/district/buurt-aa/128,Overige huizen,Kom
144,I144,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I144-h,1,144,Buurt BB,https://adamlink.nl/geo/district/buurt-bb/126,Weeshuis der Waalsche Gem.,Kom
145,I145,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I145-h,1,145,Buurt BB,https://adamlink.nl/geo/district/buurt-bb/126,Deutzen hofje,Kom
146,I146,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I146-h,1,146,Buurt BB,https://adamlink.nl/geo/district/buurt-bb/126,Grilshofje,Kom
147,I147,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I147-h,1,147,Buurt BB,https://adamlink.nl/geo/district/buurt-bb/126,Hodson Dadelhofje,Kom
148,I148,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I148-h,1,148,Buurt BB,https://adamlink.nl/geo/district/buurt-bb/126,Nooteboome Uitkijkhofje,Kom
149,I149,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I149-h,553,149,Buurt BB,https://adamlink.nl/geo/district/buurt-bb/126,Overige huizen,Kom
150,I150,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I150-h,1,150,Buurt CC,https://adamlink.nl/geo/district/buurt-cc/125,St. Piusgesticht,Kom
151,I151,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I151-h,1,151,Buurt CC,https://adamlink.nl/geo/district/buurt-cc/125,Kweekschool voor vroedvrouwen,Kom
152,I152,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I152-h,1,152,Buurt CC,https://adamlink.nl/geo/district/buurt-cc/125,Ziekenverpleging,Kom
153,I153,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I153-h,1,153,Buurt CC,https://adamlink.nl/geo/district/buurt-cc/125,Cellul. huis van arrest en justitie,Kom
154,I154,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I154-h,688,154,Buurt CC,https://adamlink.nl/geo/district/buurt-cc/125,Overige huizen,Kom
155,I155,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I155-h,1,155,Buurt DD,https://adamlink.nl/geo/district/buurt-dd/111,Rijpenhofje,Kom
156,I156,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I156-h,473,156,Buurt DD,https://adamlink.nl/geo/district/buurt-dd/111,Overige huizen,Kom
157,I157,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I157-h,1,157,Buurt EE,https://adamlink.nl/geo/district/buurt-ee/110,Rozenhofje,Kom
158,I158,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I158-h,600,158,Buurt EE,https://adamlink.nl/geo/district/buurt-ee/110,Overige huizen,Kom
159,I159,http://lod.cedar-project.nl:8888/cedar/resource/VT_1879_09_H1-S0-I159-h,2,159,Buurt FF,https://adamlink.nl/geo/district/buurt-ff/112,"Gesticht ""de Voorzienigheid""",Kom
