,caswgt,volgnr1y,buurty,huisnry,lftmy,gebplmy,bersmy,berpmy,aboeky,relimy,bsmy,lftvy,relivy,gebplvy,nrkindy,nrbodey,nrhgy,relhfdy,grondbly,pbly,patbly,jrhu1y,bervamy,bervavy,bermhuy,bergt1y,relgt1y,bergt2y,relgt2y,bergt3y,relgt3y,bergt4y,relgt4y,hulftmy,hulftvy,volgnr2y,bsvy,gebplv1y,jrhu2y,bervam2y,bervav2y,bermhu2y,bergt12y,relgt12y,bergt22y,relgt22y,bergt32y,relgt32y,bergt42y,relgt42y,hulftm2y,hulftv2y,bsv2y,gebplv2y,jrhu3y,bervam3y,bervav3y,bermhu3y,bergt13y,relgt13y,bergt23y,relgt23y,bergt33y,relgt33y,bergt43y,relgt43y,hulftm3y,hulftv3y,bsv3y,gebplv3y,tot3bly,grblgy,pblgy,patblgy,omvhhy,berpm00y,berpm0y,totbly,lftklasy,occupationalTitleDeVries,hisco,ordering,district,label,wkt,concat1854,locatiepunt,straat1909,nr1909,tvg1909,buurt1876,straat1876,steeg1876,nr1876,tvg1876,buurt1853,nr1853,tvg1853,concat1853,sectie1832,perceelnr1832,tvg1832,concat1832,WKT,nummer
27,1,101351,KK,195,42,Amsterdam,WARENHANDEL,koopman,als in bev.register,Doopsgezind,weduwnaar,-1,-1,-1,3,4,0,-1,210,287,755,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1252,5,6,6,8,6,61,5,4,koopman,41025,35,https://adamlink.nl/geo/district/buurt-kk/115,KK,"POLYGON((4.882941 52.372422,4.888539 52.372223,4.887838 52.368759,4.886767 52.368804,4.882657 52.368947,4.882838 52.371115,4.882941 52.372422))",KK195,12701.0,,,,kk,Heerengracht,,278.0,,kk,195.0,,KK195,e,3862.0,,e3862,POINT (120905.796525507 487119.18840549),12701.0
28,1,101401,Q,264,48,Amsterdam,WARENHANDEL,koopman,als in bev.register,Ned. Israelitisch,gehuwd,41,Ned. Israelitisch,Amsterdam,7,3,0,-1,0,68,79,1838,koopman,vader overleden,commissionair,koopman,vader man,zonder,broer/zwager man,commissionair,broer/zwager vrouw,vrij beroep,geen familie,32,26,101402,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,147,1,4,4,12,6,61,2,4,koopman,41025,16,https://adamlink.nl/geo/district/buurt-q/144,Q,"POLYGON((4.901948 52.370135,4.905425 52.368586,4.905434 52.368326,4.904982 52.367943,4.904175 52.3676,4.900321 52.36906,4.900876 52.369511,4.901598 52.37002,4.901948 52.370135))",Q264,23106.0,,,,q,Jodenbreestraat,,40.0,,q,264.0,,Q264,h,266.0,,h266,POINT (121991.39004347 486883.06280305),23106.0
29,1,101451,H,111,58,Amsterdam,WARENHANDEL,koopman,anders dan bev.reg.,Ned. Israelitisch,gehuwd,52,Ned. Israelitisch,Utrecht steden,4,0,1,ouder,63,73,38,1821,koopman,koopman,koopman,koopman,vader man,koopman,vader vrouw,zonder,geen familie,arts,geen familie,26,20,101452,ongehuwd,Utrecht steden,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,174,4,4,3,7,6,61,2,5,koopman,41025,8,https://adamlink.nl/geo/district/buurt-h/129,H,"POLYGON((4.894007 52.37649,4.894275 52.37626,4.895006 52.37623,4.895396 52.376197,4.895664 52.376129,4.895646 52.376075,4.897057 52.375528,4.89446 52.373823,4.894162 52.373958,4.893121 52.373267,4.893544 52.372997,4.893517 52.372645,4.892769 52.372774,4.892183 52.372806,4.891511 52.37275,4.890619 52.372546,4.890558 52.373282,4.890829 52.373887,4.891951 52.375108,4.894007 52.37649))",H111,1350.0,Damrak,80.0,,H,Damrak,,80.0,,H,111.0,,H111,F,3732.0,,F3732,POINT (121434.440950025 487493.267670761),1350.0
30,1,101501,NN,285,39,Amsterdam,BOUWBEDRIJVEN,timmerman,geen,Gereformeerd,gehuwd,44,Gereformeerd,Amsterdam,2,0,0,-1,116,11,13,1844,zonder,zonder,werklieden,zonder,broer/zwager man,koopman,broer/zwager man,ambachtsman,oom/neef man,bakker,geen familie,29,34,101502,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,140,5,2,2,4,2,21,2,3,timmerman,95410,38,https://adamlink.nl/geo/district/buurt-nn/108,NN,"POLYGON((4.886043 52.377868,4.885047 52.376754,4.877607 52.375225,4.878355 52.376231,4.886043 52.377868))",NN285,10695.0,,,,nn,Egelantiersstraat,,150.0,,nn,285.0,,NN285,d,4331.0,,d4331,POINT (120553.867013979 487744.942827581),10695.0
31,1,101551,C,548,45,Amsterdam,WARENHANDEL,koopman,als in bev.register,Rooms Katholiek,gehuwd,32,Rooms Katholiek,Amsterdam,3,2,0,-1,92,182,45,1835,vader overleden,vader overleden,koopman,winkelier,broer/zwager vrouw,winkelier,geen familie,koopman,geen familie,koopman,geen familie,26,20,101552,ongehuwd,Amsterdam,1850,vader overleden,vader overleden,koopman,koopman,geen familie,koopman,broer/zwager man,winkelier,7,koopman,geen familie,41,30,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,319,4,5,3,7,6,61,3,4,koopman,41025,3,https://adamlink.nl/geo/district/buurt-c/141,C,"POLYGON((4.900106 52.372517,4.900397 52.372436,4.900723 52.372217,4.901212 52.370906,4.901358 52.370555,4.901539 52.370337,4.901948 52.370135,4.901598 52.37002,4.900876 52.369511,4.898259 52.367379,4.896161 52.367484,4.895434 52.367454,4.898741 52.371036,4.900106 52.372517))",C548,20174.0,,,,c,Kloveniersburgwal,,75.0,,c,548.0,,C548,g,2745.0,,g2745,POINT (121676.187449725 486975.904651882),20174.0
32,1,101601,D,25,64,Amsterdam,WARENHANDEL,koopman,als in bev.register,Nederlands Hervormd,weduwnaar,-1,-1,-1,3,1,0,-1,69,79,21,1812,vader overleden,ambachtsman,werklieden,overigen,geen familie,koopman,geen familie,ambachtsman,geen familie,onderwijzer,geen familie,23,21,101602,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,169,4,4,3,5,6,61,2,6,koopman,41025,4,https://adamlink.nl/geo/district/buurt-d/131,D,"POLYGON((4.892234 52.369078,4.892267 52.368814,4.893863 52.367341,4.893521 52.366977,4.893014 52.366877,4.891595 52.366924,4.890137 52.367129,4.889485 52.367234,4.888607 52.368031,4.889363 52.368755,4.890971 52.36896,4.892234 52.369078))",D25,5186.0,,,,D,Kalverstraat,,177.0,,D,25.0,,D25,F,3408.0,,F3408,POINT (121245.380840961 486814.303167602),5186.0
33,1,101651,AA,515,31,ov. N-Holl. steden,CHEM BEDR,apotheker,als in bev.register,Rooms Katholiek,gehuwd,34,Rooms Katholiek,Amsterdam,0,3,0,-1,70,96,38,1848,makelaar,apotheker,apotheker,zonder,broer/zwager man,geemployeerde,oom/neef man,drogist,broer/zwager vrouw,ambachtsman,geen familie,26,29,101652,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,204,4,4,3,5,2,23,3,3,apotheker,6710,26,https://adamlink.nl/geo/district/buurt-aa/128,AA,"POLYGON((4.895997 52.363397,4.89626 52.359737,4.896386 52.35945,4.896808 52.359165,4.897377 52.359047,4.897528 52.358791,4.897701 52.357581,4.895814 52.357672,4.89464 52.357901,4.893378 52.358296,4.892399 52.358692,4.891632 52.358862,4.890424 52.358812,4.891657 52.362207,4.891854 52.362174,4.892446 52.363845,4.895997 52.363397))",AA515,18949.0,,,,aa,Prinsengracht,,734.0,,aa,515.0,,AA515,i,2570.0,,i2570,POINT (121494.345099647 486065.40063287),18949.0
34,1,101701,GG,444,41,Amsterdam,TUSSENHANDEL,commissionair,anders dan bev.reg.,Nederlands Hervormd,gehuwd,43,Evangelisch Luthers,Amsterdam,4,2,0,-1,78,48,14,1835,zonder,ambtenaar,winkelier,zonder,vader man,kantoorbediende,broer/zwager vrouw,fabrikanten,broer/zwager vrouw,kantoorbediende,broer/zwager vrouw,23,24,101702,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,140,4,3,2,8,6,65,2,4,commissionair,42230,32,https://adamlink.nl/geo/district/buurt-gg/113,GG,"POLYGON((4.875707 52.369635,4.87706 52.369995,4.877249 52.369687,4.877636 52.369794,4.877755 52.369617,4.882838 52.371115,4.882657 52.368947,4.879119 52.367684,4.877492 52.367268,4.877414 52.367603,4.877275 52.36795,4.877118 52.368172,4.876557 52.368455,4.876134 52.368698,4.875876 52.368909,4.875759 52.369172,4.875707 52.369635))",GG444,14981.0,,,,gg,Looijersgracht,,12.0,,gg,444.0,,GG444,e,2466.0,,e2466,POINT (120590.723695269 486894.343758504),14981.0
35,1,101751,JJ,438,39,Amsterdam,WARENHANDEL,koopman,anders dan bev.reg.,Nederlands Hervormd,gehuwd,29,Nederlands Hervormd,Z-Holl. steden,3,2,0,-1,246,246,230,1847,ambachtsman,ambtenaar,zonder,zonder,broer/zwager man,zonder,broer/zwager man,predikant,geen familie,zonder,geen familie,33,23,101752,ongehuwd,Z-Holl. steden,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,722,5,5,5,7,6,61,4,3,koopman,41025,34,https://adamlink.nl/geo/district/buurt-jj/122,JJ,"POLYGON((4.88668 52.367613,4.886767 52.368804,4.887838 52.368759,4.888607 52.368031,4.889485 52.367234,4.88795 52.36668,4.881141 52.363469,4.880811 52.36372,4.880434 52.363794,4.880101 52.363781,4.879603 52.363715,4.879151 52.363808,4.878877 52.364116,4.878861 52.364407,4.879006 52.364679,4.879138 52.364934,4.880356 52.365136,4.880817 52.3653,4.880766 52.365459,4.88668 52.367613))",JJ438,16121.0,,,,ii,Heerengracht,,439.0,,ii,438.0,,JJ438,f,1.0,,f1,POINT (121031.435484327 486682.842795503),16121.0
36,1,101801,CC,733,63,Amsterdam,360,zonder,zonder beroep,Nederlands Hervormd,weduwnaar,-1,-1,-1,0,1,0,-1,137,221,0,1816,vader overleden,directeur,suikerraffinadeurs,directeur,vader vrouw,directeur,broer/zwager vrouw,ambachtsman,oom/neef man,stadhuisambtenaar,stadhuisambtenaar,36,28,101802,ongehuwd,Amsterdam,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,358,5,5,1,2,5,54,3,6,zonder,-2,28,https://adamlink.nl/geo/district/buurt-cc/125,CC,"POLYGON((4.881141 52.363469,4.886428 52.365963,4.889451 52.364267,4.887952 52.362607,4.887767 52.362674,4.886845 52.36156,4.886772 52.361492,4.886631 52.361399,4.88637 52.361264,4.886167 52.361116,4.885228 52.360338,4.884879 52.360676,4.884723 52.361209,4.884438 52.361467,4.883967 52.361699,4.883473 52.361727,4.882573 52.361716,4.881868 52.361883,4.881719 52.362022,4.881617 52.362259,4.881614 52.362516,4.881593 52.362772,4.88156 52.362984,4.881366 52.363269,4.881141 52.363469))",CC733,16995.0,,,,cc,Keizersgracht,,518.0,,cc,733.0,,CC733,i,1720.0,,i1720,POINT (120898.623934477 486525.990857777),16995.0
