WKT,nummer
"POINT (121787.020685833 487752.106814781)",148
"POINT (121791.361559792 487748.928674918)",149
"POINT (121795.004793294 487745.905566267)",150
"POINT (121798.880573615 487741.719723521)",151
"POINT (121801.516104234 487739.084192902)",152
"POINT (121804.694244097 487735.4409594)",153
"POINT (121807.717352747 487732.030272718)",154
"POINT (121809.422696089 487730.014866951)",155
"POINT (121815.934007028 487721.023056606)",156
"POINT (121811.283070643 487718.465041594)",157
"POINT (121814.306179293 487753.42458009)",158
"POINT (121821.282583871 487749.548799769)",159
"POINT (121832.987440441 487745.595503842)",160
"POINT (121829.809300578 487742.572395191)",161
"POINT (121827.406316778 487740.479473818)",162
"POINT (121823.840598883 487744.045191713)",163
"POINT (121766.634081344 487755.362470251)",164
"POINT (121760.897926469 487760.400984668)",165
"POINT (121766.634081344 487736.061084252)",166
"POINT (121771.517564549 487731.100085441)",167
"POINT (121775.703407295 487727.534367546)",168
"POINT (121777.796328669 487724.976352534)",169
"POINT (121780.354343681 487722.108275096)",170
"POINT (121783.222421118 487719.317713265)",171
"POINT (121786.168014162 487715.829510976)",172
"POINT (121791.904169037 487709.24068443)",173
"POINT (121788.726029174 487707.690372302)",174
"POINT (121783.765030363 487705.829997747)",175
"POINT (121778.41645352 487703.427013948)",176
"POINT (121757.254692967 487715.51944855)",177
"POINT (121768.804518324 487705.674966535)",178
"POINT (121765.238800428 487700.558936511)",179
"POINT (121761.052957682 487696.605640583)",180
"POINT (121742.061634108 487701.721670607)",181
"POINT (121755.549349626 487687.381283419)",182
"POINT (121750.278288389 487680.792456873)",183
"POINT (121747.177664132 487677.071707765)",184
"POINT (121745.007227152 487674.126114721)",185
"POINT (121741.59654047 487670.095303187)",186
"POINT (121724.930685089 487683.117925066)",187
"POINT (121753.223881433 487712.961433538)",188
"POINT (121761.750598139 487721.643181457)",189
"POINT (121805.527536866 487765.49763579)",190
"POINT (121805.682568079 487771.582610894)",191
"POINT (121716.617136301 487676.781024241)",192
"POINT (121722.663353601 487672.905243919)",193
"POINT (121733.825600926 487665.153683277)",194
"POINT (121732.740382436 487660.347715679)",195
"POINT (121729.329695754 487657.014544603)",196
"POINT (121726.306587103 487652.75118625)",197
"POINT (121722.663353601 487649.573046387)",198
"POINT (121718.942604493 487645.38720364)",199
"POINT (121714.756761746 487641.433907712)",200
"POINT (121710.880981425 487636.860486933)",201
"POINT (121706.772654285 487632.287066155)",202
"POINT (121702.586811538 487627.558614163)",203
"POINT (121700.106312133 487623.682833842)",204
"POINT (121696.618109844 487619.807053521)",205
"POINT (121693.595001193 487615.466179561)",206
"POINT (121689.021580414 487610.737727569)",207
"POINT (121685.068284487 487606.551884823)",208
"POINT (121681.580082198 487601.435854799)",209
"POINT (121677.781817483 487596.552371594)",210
"POINT (121673.440943524 487599.342933425)",211
"POINT (121669.952741235 487601.20330798)",212
"POINT (121666.387023339 487604.22641663)",213
"POINT (121662.511243018 487606.706916036)",214
"POINT (121658.868009516 487609.148657638)",215
"POINT (121655.99993208 487611.357852421)",216
"POINT (121652.589245396 487613.450773794)",217
"POINT (121648.519676059 487618.683077228)",218
"POINT (121694.253883848 487642.402852793)",219
"POINT (121638.907740863 487623.256498006)",220
"POINT (121667.588515239 487616.977733886)",221
"POINT (121673.479701327 487613.64456281)",222
"POINT (121751.809221616 487655.231685655)",223
"POINT (121756.305126788 487652.828701856)",224
"POINT (121759.987118093 487650.929569499)",225
"POINT (121763.901656218 487648.371554487)",226
"POINT (121767.515821367 487646.288322564)",227
"POINT (121771.081539262 487643.614034143)",228
"POINT (121774.724772764 487641.753659589)",229
"POINT (121777.825397021 487639.583222609)",230
"POINT (121781.623661736 487637.18023881)",231
"POINT (121785.964535695 487634.04085675)",232
"POINT (121790.150378442 487631.366568328)",233
"POINT (121794.258705582 487628.886068923)",234
"POINT (121799.452251213 487625.862960272)",235
"POINT (121805.614741923 487622.064695558)",236
"POINT (121803.40554714 487617.646305992)",237
"POINT (121801.816477209 487613.537978851)",238
"POINT (121796.351626956 487616.483571895)",239
"POINT (121799.025915377 487609.313378301)",240
"POINT (121777.941670431 487622.374757983)",241
"POINT (121774.027132306 487625.010288602)",242
"POINT (121771.546632901 487622.180968967)",243
"POINT (121766.934454319 487618.150157433)",244
"POINT (121777.747881415 487611.638846494)",245
"POINT (121762.554822556 487614.235619309)",246
"POINT (121762.748611572 487605.980207225)",247
"POINT (121772.631851391 487607.414245944)",248
"POINT (121744.997537702 487619.971774184)",249
"POINT (121753.252949785 487618.925313498)",250
"POINT (121758.795315645 487628.886068923)",251
"POINT (121760.694448002 487632.723091441)",252
"POINT (121759.492956102 487638.536761922)",253
"POINT (121744.958779898 487655.551437532)",254
"POINT (121742.478280493 487652.99342252)",255
"POINT (121740.075296694 487650.280376295)",256
"POINT (121737.633555092 487647.528572267)",257
"POINT (121733.951563787 487643.730307552)",258
"POINT (121730.075783465 487639.466949199)",259
"POINT (121726.703854586 487635.591168878)",260
"POINT (121724.107081771 487632.141724392)",261
"POINT (121721.820371382 487629.777498397)",262
"POINT (121719.068567354 487626.754389746)",263
"POINT (121715.89042749 487623.42121867)",264
"POINT (121728.331682321 487615.437111209)",265
"POINT (121730.579634907 487614.080588096)",266
"POINT (121733.796532574 487612.414002558)",267
"POINT (121736.780883421 487611.134995052)",268
"POINT (121739.532687449 487609.352136104)",269
"POINT (121742.32324928 487607.763066173)",270
"POINT (121746.625365436 487605.747660406)",271
"POINT (121751.818911067 487603.150887591)",272
"POINT (121755.578417978 487600.554114776)",273
"POINT (121758.330222006 487598.848771434)",274
"POINT (121763.213705211 487596.096967406)",275
"POINT (121768.63979766 487593.422678985)",276
"POINT (121772.321788965 487591.097210792)",277
"POINT (121775.616202238 487589.159320632)",278
"POINT (121782.127513177 487585.632360539)",279
"POINT (121786.662176153 487591.446031021)",280
"POINT (121789.530253591 487596.058209603)",281
"POINT (121791.235596932 487599.391380679)",282
"POINT (121794.219947779 487603.577223426)",283
"POINT (121784.840559402 487568.036317882)",284
"POINT (121778.910615511 487578.384651339)",285
