WKT,nummer
"POINT (121814.447770277 487336.458116619)",4491
"POINT (121816.834179743 487341.927871141)",4492
"POINT (121819.805251993 487348.41029131)",4493
"POINT (121791.459178351 487348.09103245)",4494
"POINT (121812.39668778 487352.784072199)",4495
"POINT (121809.058167799 487354.518678914)",4496
"POINT (121806.759671478 487345.526171208)",4497
"POINT (121798.99222404 487341.427162154)",4498
"POINT (121800.231687926 487345.244441676)",4499
"POINT (121801.630006676 487349.838005426)",4500
"POINT (121803.006748844 487356.565802066)",4501
"POINT (121799.055992795 487358.075217355)",4502
"POINT (121794.537760656 487360.105153812)",4503
"POINT (121789.635482225 487361.971042109)",4504
"POINT (121784.123966076 487364.285118314)",4505
"POINT (121776.511787021 487367.136902382)",4506
"POINT (121770.24593609 487351.27273492)",4507
"POINT (121761.324958239 487351.022380427)",4508
"POINT (121762.113235866 487353.557042897)",4509
"POINT (121763.37507974 487357.747178717)",4510
"POINT (121771.462058991 487377.767912015)",4511
"POINT (121775.051148737 487376.467304863)",4512
"POINT (121779.104809679 487374.802033059)",4513
"POINT (121783.809469967 487372.760906607)",4514
"POINT (121787.999605786 487371.499062733)",4515
"POINT (121791.338125768 487369.764456019)",4516
"POINT (121794.379121062 487368.683846999)",4517
"POINT (121798.546876893 487367.049146828)",4518
"POINT (121806.737722033 487363.86326974)",4519
"POINT (121813.17018893 487361.306815415)",4520
"POINT (121816.953898469 487359.508067084)",4521
"POINT (121820.704038025 487357.150034307)",4522
"POINT (121825.035842015 487355.131287844)",4523
"POINT (121831.463115618 487353.735164038)",4524
"POINT (121832.931572685 487360.120676013)",4525
"POINT (121832.507371577 487364.898472967)",4526
"POINT (121832.787121436 487369.559176683)",4527
"POINT (121832.432255238 487373.621832675)",4528
"POINT (121832.292193878 487379.392913638)",4529
"POINT (121831.829229492 487384.771756666)",4530
"POINT (121831.507933278 487389.393697104)",4531
"POINT (121831.473775161 487395.682300885)",4532
"POINT (121823.567069769 487399.861461982)",4533
"POINT (121818.706552965 487401.79968354)",4534
"POINT (121814.419508952 487404.564142597)",4535
"POINT (121836.032865614 487451.688272031)",4536
"POINT (121812.00193972 487406.056371192)",4537
"POINT (121808.941562787 487407.437503248)",4538
"POINT (121805.869995859 487408.632207156)",4539
"POINT (121801.649288407 487410.008145918)",4540
"POINT (121797.835007235 487411.920989137)",4541
"POINT (121793.853679553 487413.544499314)",4542
"POINT (121796.365373901 487419.231253617)",4543
"POINT (121800.925367668 487417.27365042)",4544
"POINT (121804.803790456 487415.805996759)",4545
"POINT (121808.434641829 487414.577722868)",4546
"POINT (121812.065493203 487413.349448977)",4547
"POINT (121815.434584817 487411.500747374)",4548
"POINT (121819.758197163 487409.968952097)",4549
"POINT (121823.705954862 487407.786157474)",4550
"POINT (121829.849088717 487405.396749659)",4551
"POINT (121830.961072775 487410.830739252)",4552
"POINT (121831.140112685 487413.81358963)",4553
"POINT (121831.857663863 487421.404192102)",4554
"POINT (121833.017406248 487428.257273624)",4555
"POINT (121833.277774468 487433.218500377)",4556
"POINT (121833.523954344 487437.319919647)",4557
"POINT (121834.597175125 487443.354955314)",4558
"POINT (121835.411634497 487449.442942602)",4559
"POINT (121836.114193925 487453.666648405)",4560
"POINT (121837.033753134 487457.765069325)",4561
"POINT (121838.078597226 487462.080490026)",4562
"POINT (121839.145821307 487466.768767025)",4563
"POINT (121852.947055007 487318.28120681)",4564
"POINT (121845.204828318 487340.786276444)",4565
"POINT (121832.031597001 487477.916603707)",4566
"POINT (121840.508776833 487473.890300776)",4567
"POINT (121842.697568156 487479.184817143)",4568
"POINT (121843.819938803 487482.298145698)",4569
"POINT (121844.672358047 487485.277997726)",4570
"POINT (121845.920013576 487488.608326062)",4571
"POINT (121847.156479112 487491.752226251)",4572
"POINT (121849.258748829 487496.228696762)",4573
"POINT (121851.611588312 487501.139166837)",4574
"POINT (121861.479561442 487495.450054187)",4575
"POINT (121859.207725563 487489.792009518)",4576
"POINT (121857.265197616 487484.399085933)",4577
"POINT (121855.48419341 487478.499290765)",4578
"POINT (121853.204412837 487473.125206891)",4579
"POINT (121850.954178803 487466.438703612)",4580
"POINT (121848.85758145 487459.872444346)",4581
"POINT (121847.137859 487453.811143435)",4582
"POINT (121846.798710566 487448.645955278)",4583
"POINT (121845.448251339 487443.527881413)",4584
"POINT (121844.330766976 487438.784495815)",4585
"POINT (121843.623717438 487433.81245974)",4586
"POINT (121842.837357774 487429.310719349)",4587
"POINT (121842.824389281 487424.798701131)",4588
"POINT (121842.741917356 487420.598781384)",4589
"POINT (121842.407013667 487415.839098493)",4590
"POINT (121843.00376159 487410.660030586)",4591
"POINT (121843.096497789 487405.926134239)",4592
"POINT (121842.675621686 487401.384557449)",4593
"POINT (121843.43160235 487397.995917578)",4594
"POINT (121842.499110038 487393.897927329)",4595
"POINT (121843.202471653 487389.001649068)",4596
"POINT (121843.451688821 487385.892407487)",4597
"POINT (121843.527252853 487382.973179564)",4598
"POINT (121843.918964666 487377.452177634)",4599
"POINT (121843.588614316 487373.021911133)",4600
"POINT (121843.457796905 487367.891435663)",4601
"POINT (121852.556216337 487379.41146303)",4602
"POINT (121853.442205564 487382.950599504)",4603
"POINT (121854.982192486 487386.787260665)",4604
"POINT (121855.940514973 487390.284635512)",4605
"POINT (121857.188170503 487393.614963848)",4606
"POINT (121858.494774354 487398.550812262)",4607
"POINT (121859.745428234 487402.554519933)",4608
"POINT (121861.341365127 487407.323321837)",4609
"POINT (121862.522684096 487412.042170469)",4610
"POINT (121863.78152962 487415.558926954)",4611
"POINT (121864.876326984 487419.459729731)",4612
"POINT (121866.43050225 487424.156198375)",4613
"POINT (121867.737106102 487429.092046789)",4614
"POINT (121869.024328314 487434.328418239)",4615
"POINT (121851.681417105 487376.058754705)",4616
"POINT (121852.544968661 487344.31221441)",4617
"POINT (121870.929783295 487441.136739784)",4618
"POINT (121872.901574835 487446.556541033)",4619
"POINT (121874.453555157 487453.086719529)",4620
"POINT (121876.253106894 487459.377518256)",4621
"POINT (121877.866230482 487465.679506976)",4622
"POINT (121879.696353851 487471.856210814)",4623
"POINT (121883.915885036 487484.176048507)",4624
"POINT (121881.584837409 487486.486322957)",4625
"POINT (121877.96817438 487488.57440433)",4626
"POINT (121871.241181146 487492.458235685)",4627
"POINT (121867.224088536 487495.356171269)",4628
"POINT (121821.63314592 487516.952341237)",4629
"POINT (121816.828363817 487510.467726123)",4630
"POINT (121814.013951487 487506.595300035)",4631
"POINT (121810.576113096 487502.311254371)",4632
"POINT (121807.998082187 487498.013020364)",4633
"POINT (121805.631857766 487494.749831993)",4634
"POINT (121803.01506358 487491.052644059)",4635
"POINT (121800.353509416 487486.609743531)",4636
"POINT (121797.842618474 487483.430078415)",4637
"POINT (121795.089349411 487479.32946255)",4638
"POINT (121782.358853138 487461.121665928)",4639
"POINT (121779.52206082 487456.876383542)",4640
"POINT (121775.978319185 487452.074815061)",4641
"POINT (121772.568054077 487447.003295176)",4642
"POINT (121770.084736418 487443.036155838)",4643
"POINT (121759.199943398 487427.524071496)",4644
"POINT (121754.331019679 487420.594266824)",4645
"POINT (121751.516607349 487416.721840736)",4646
"POINT (121748.952764785 487413.283414211)",4647
"POINT (121746.004875929 487409.680939526)",4648
"POINT (121739.760816853 487401.037516589)",4649
"POINT (121736.539978244 487396.628186044)",4650
"POINT (121734.226705444 487393.623759082)",4651
"POINT (121730.91934523 487388.396382682)",4652
"POINT (121727.584411732 487383.956480503)",4653
"POINT (121723.748338705 487378.648579197)",4654
"POINT (121715.761481269 487367.153587465)",4655
"POINT (121712.643547554 487362.588400404)",4656
"POINT (121710.399609665 487358.868832481)",4657
"POINT (121707.93048035 487355.761500626)",4658
"POINT (121705.675352466 487351.855504554)",4659
"POINT (121702.81917851 487347.910745205)",4660
"POINT (121699.514816645 487343.356748139)",4661
"POINT (121696.073979904 487338.399323142)",4662
"POINT (121693.031377799 487334.465753787)",4663
"POINT (121689.184114777 487328.971424333)",4664
"POINT (121685.409185016 487323.435333251)",4665
"POINT (121682.538822715 487318.630766419)",4666
"POINT (121678.432798284 487313.189388587)",4667
"POINT (121675.760054126 487308.56005991)",4668
"POINT (121673.268544823 487305.079871757)",4669
"POINT (121670.609989009 487301.310350563)",4670
"POINT (121666.979725769 487295.690736226)",4671
"POINT (121662.699198887 487288.273747752)",4672
"POINT (121658.997473954 487282.180681673)",4673
"POINT (121655.974397167 487276.944559084)",4674
"POINT (121652.133301044 487271.965904893)",4675
"POINT (121647.857823857 487265.304703155)",4676
"POINT (121645.324759837 487261.289378563)",4677
"POINT (121642.432086843 487256.837228452)",4678
"POINT (121638.693131296 487251.477380444)",4679
"POINT (121636.913332082 487248.208642285)",4680
"POINT (121634.820432769 487244.583634338)",4681
"POINT (121632.07396477 487241.873002663)",4682
"POINT (121630.049159173 487237.993865505)",4683
"POINT (121627.537679997 487233.643855969)",4684
"POINT (121625.584307304 487230.260515219)",4685
"POINT (121622.911716663 487226.003523431)",4686
"POINT (121620.33214377 487221.907643107)",4687
"POINT (121618.382110264 487219.274227976)",4688
"POINT (121616.902949136 487216.154139266)",4689
"POINT (121613.743684915 487211.4262751)",4690
"POINT (121611.117603148 487207.249839044)",4691
"POINT (121608.101204736 487203.513567694)",4692
"POINT (121605.000911404 487199.073879598)",4693
"POINT (121601.798477497 487195.015385319)",4694
"POINT (121592.916984345 487199.444968102)",4695
"POINT (121588.845130324 487201.618946261)",4696
"POINT (121584.530476838 487204.143774136)",4697
"POINT (121576.198778105 487209.741674833)",4698
"POINT (121568.639001299 487214.321129292)",4699
"POINT (121561.503587997 487218.33335444)",4700
"POINT (121564.861349727 487223.591061873)",4701
"POINT (121568.640135774 487227.531614374)",4702
"POINT (121570.695649042 487230.533761307)",4703
"POINT (121572.717115452 487233.662972845)",4704
"POINT (121575.581525229 487236.949956661)",4705
"POINT (121578.411888147 487240.364005082)",4706
"POINT (121580.572881178 487243.734883817)",4707
"POINT (121582.243861442 487245.884964555)",4708
"POINT (121585.027715486 487249.218457244)",4709
"POINT (121587.870540419 487252.840126004)",4710
"POINT (121590.8063831 487256.622906227)",4711
"POINT (121593.844366356 487260.024492634)",4712
"POINT (121596.467108936 487263.451003071)",4713
"POINT (121598.755166572 487266.855928664)",4714
"POINT (121601.635377551 487271.100458437)",4715
"POINT (121604.528050545 487275.552608548)",4716
"POINT (121607.438969195 487278.920148096)",4717
"POINT (121611.140538697 487283.657135091)",4718
"POINT (121614.798938512 487289.063491972)",4719
"POINT (121617.518038026 487293.401039493)",4720
"POINT (121619.657446214 487297.106603172)",4721
"POINT (121622.305112824 487300.948354284)",4722
"POINT (121629.955462923 487298.572167809)",4723
"POINT (121634.596987716 487296.751643364)",4724
"POINT (121639.464378503 487293.83404634)",4725
"POINT (121643.458118251 487291.635667264)",4726
"POINT (121647.519951717 487289.183158976)",4727
"POINT (121659.314480479 487289.89211962)",4728
"POINT (121656.163684097 487292.248270974)",4729
"POINT (121652.606769867 487294.087041076)",4730
"POINT (121648.715170694 487295.904226335)",4731
"POINT (121643.72983813 487298.245471219)",4732
"POINT (121638.986172762 487300.447189482)",4733
"POINT (121636.488945065 487301.888964564)",4734
"POINT (121627.847896883 487307.200098987)",4735
"POINT (121631.261290315 487311.99605687)",4736
"POINT (121635.437071381 487316.996295904)",4737
"POINT (121641.119382061 487323.489707804)",4738
"POINT (121645.409765718 487328.316373358)",4739
"POINT (121651.281451079 487335.881933806)",4740
"POINT (121654.06864431 487339.965352115)",4741
"POINT (121656.471304537 487343.196704229)",4742
"POINT (121658.700391285 487346.313453752)",4743
"POINT (121661.496707345 487349.85456678)",4744
"POINT (121664.686679237 487353.70544072)",4745
"POINT (121667.926499189 487358.386796013)",4746
"POINT (121671.358138278 487362.098143333)",4747
"POINT (121674.408583549 487365.707350077)",4748
"POINT (121677.927456743 487370.872039762)",4749
"POINT (121681.442990751 487375.286803828)",4750
"POINT (121686.542270916 487380.398306266)",4751
"POINT (121689.307879304 487384.816409519)",4752
"POINT (121694.274311223 487391.186095999)",4753
"POINT (121698.49994035 487397.016816385)",4754
"POINT (121701.758005959 487400.613561114)",4755
"POINT (121722.396969322 487392.456917561)",4756
"POINT (121706.547525211 487406.118719385)",4757
"POINT (121709.123758918 487409.464674089)",4758
"POINT (121712.003969896 487413.709203862)",4759
"POINT (121714.69814538 487417.631510707)",4760
"POINT (121718.120661641 487421.885163309)",4761
"POINT (121721.149522068 487425.829054997)",4762
"POINT (121723.493211407 487428.772231041)",4763
"POINT (121726.683183299 487432.623104981)",4764
"POINT (121728.93385489 487435.405169561)",4765
"POINT (121731.547474642 487439.373985279)",4766
"POINT (121726.302819975 487396.431516921)",4767
"POINT (121723.263286997 487397.864169175)",4768
"POINT (121741.841257432 487437.297542157)",4769
"POINT (121747.127228081 487435.104946722)",4770
"POINT (121751.065336128 487433.368317196)",4771
"POINT (121755.257573386 487431.699781386)",4772
"POINT (121763.588205666 487434.408623597)",4773
"POINT (121759.684144478 487436.018188518)",4774
"POINT (121754.906432251 487438.346971387)",4775
"POINT (121750.082211151 487440.595198523)",4776
"POINT (121745.716400413 487442.149131742)",4777
"POINT (121737.496376548 487446.143111234)",4778
"POINT (121739.973808866 487450.620185375)",4779
"POINT (121742.795048956 487454.576539078)",4780
"POINT (121745.662797919 487458.613448514)",4781
"POINT (121750.219772803 487463.715828123)",4782
"POINT (121753.565072518 487468.765915218)",4783
"POINT (121757.994982796 487473.834247969)",4784
"POINT (121762.28870564 487479.410839143)",4785
"POINT (121766.650522202 487484.733301106)",4786
"POINT (121770.221687911 487488.686315622)",4787
"POINT (121772.856892506 487492.320446397)",4788
"POINT (121775.594237677 487495.573383354)",4789
"POINT (121777.767692723 487499.151882427)",4790
"POINT (121780.97012663 487503.210376706)",4791
"POINT (121783.23993861 487507.699912862)",4792
"POINT (121785.48482656 487511.774208343)",4793
"POINT (121788.017890579 487515.789532935)",4794
"POINT (121791.000242133 487519.652868891)",4795
"POINT (121793.647908744 487523.494620003)",4796
"POINT (121796.190095592 487526.967639314)",4797
"POINT (121797.98235682 487530.443997811)",4798
"POINT (121806.719761937 487526.043900472)",4799
"POINT (121813.058740746 487521.954458779)",4800
"POINT (121549.323391756 487203.561842519)",4801
"POINT (121545.959846384 487199.596365988)",4802
"POINT (121542.084703403 487194.744776403)",4803
"POINT (121538.280993325 487190.388983226)",4804
"POINT (121534.635055525 487185.190246682)",4805
"POINT (121530.68847964 487179.842860689)",4806
"POINT (121527.681204055 487175.564284057)",4807
"POINT (121522.661584889 487167.614190605)",4808
"POINT (121489.358786911 487111.978442912)",4809
"POINT (121486.065779711 487105.716680649)",4810
"POINT (121483.339107091 487097.087199749)",4811
"POINT (121481.626506862 487090.772250238)",4812
"POINT (121479.606590174 487082.808800038)",4813
"POINT (121478.114072298 487076.68900885)",4814
"POINT (121476.875683634 487070.637311379)",4815
"POINT (121475.484411602 487061.344244233)",4816
"POINT (121474.329917856 487055.995963508)",4817
"POINT (121473.113114036 487049.609581093)",4818
"POINT (121471.375589777 487042.879390906)",4819
"POINT (121470.242680875 487037.196425236)",4820
"POINT (121468.610636378 487030.834966852)",4821
"POINT (121467.574084411 487026.063038266)",4822
"POINT (121466.459421166 487019.295462034)",4823
"POINT (121471.123185791 487009.513931844)",4824
"POINT (121463.656186989 487003.836094826)",4825
"POINT (121462.396213482 486998.119082299)",4826
"POINT (121461.57640468 486992.792386417)",4827
"POINT (121460.347138845 486986.198383664)",4828
"POINT (121459.28232366 486980.261288783)",4829
"POINT (121457.526553744 486974.615709159)",4830
"POINT (121456.9982602 486969.979968008)",4831
"POINT (121454.708413099 486960.990878134)",4832
"POINT (121452.510689012 486949.370817585)",4833
"POINT (121500.779853253 486943.306354116)",4834
"POINT (121437.449267188 486922.353492279)",4835
"POINT (121412.230609623 486912.531956085)",4836
"POINT (121406.224526293 486911.058818341)",4837
"POINT (121401.519796692 486909.049158957)",4838
"POINT (121395.659023624 486906.525457508)",4839
"POINT (121389.352302209 486904.903670315)",4840
"POINT (121371.347648709 486913.902362503)",4841
"POINT (121366.721030386 486913.888350765)",4842
"POINT (121361.000678672 486914.398398653)",4843
"POINT (121355.413175204 486913.650262499)",4844
"POINT (121353.489615451 486906.597849383)",4845
"POINT (121350.783632941 486894.841601399)",4846
"POINT (121349.05523151 486887.569105931)",4847
"POINT (121360.985052974 486884.977726012)",4848
"POINT (121346.492114809 486876.804450763)",4849
"POINT (121346.330763601 486866.479065569)",4850
"POINT (121353.429445848 486854.217658606)",4851
"POINT (121362.833536655 486841.484484533)",4852
"POINT (121367.492412371 486835.787267384)",4853
"POINT (121371.85398919 486830.691326405)",4854
"POINT (121385.600101179 486829.199463519)",4855
"POINT (121376.592525906 486822.155518242)",4856
"POINT (121379.894416191 486817.456572283)",4857
"POINT (121383.196306477 486812.757626324)",4858
"POINT (121387.328678114 486808.008832304)",4859
"POINT (121391.250090226 486802.522574679)",4860
"POINT (121395.561818984 486796.596152349)",4861
"POINT (121399.440061409 486791.779264612)",4862
"POINT (121402.878139129 486786.57206023)",4863
"POINT (121406.638439777 486781.178820353)",4864
"POINT (121411.935082977 486773.609680975)",4865
"POINT (121416.153793987 486767.522147181)",4866
"POINT (121352.552759604 486903.486883501)",4867
"POINT (121379.394993828 486912.585862561)",4868
"POINT (121358.339111589 486847.838609555)",4869
"POINT (121349.960660457 486860.301853214)",4870
"POINT (121387.892152992 486825.727993931)",4871
"POINT (121390.965732829 486824.168277071)",4872
"POINT (121394.488600199 486822.456571574)",4873
"POINT (121399.080276932 486819.805565777)",4874
"POINT (121402.445372025 486818.936803647)",4875
"POINT (121407.189037393 486816.735085385)",4876
"POINT (121413.844455489 486813.751839098)",4877
"POINT (121418.727647478 486811.791788031)",4878
"POINT (121422.81196052 486811.79667694)",4879
"POINT (121427.475964888 486812.433549691)",4880
"POINT (121430.980586603 486811.806454758)",4881
"POINT (121434.069967641 486811.204283855)",4882
"POINT (121438.687463136 486811.760600874)",4883
"POINT (121439.919173426 486816.312447106)",4884
"POINT (121440.719841839 486819.931671411)",4885
"POINT (121441.719007761 486824.080738983)",4886
"POINT (121442.650079966 486828.483935766)",4887
"POINT (121443.810357353 486832.53998559)",4888
"POINT (121441.221006641 486836.612731349)",4889
"POINT (121436.182486829 486837.373569262)",4890
"POINT (121432.334057343 486838.521384633)",4891
"POINT (121428.646739321 486839.576182257)",4892
"POINT (121424.853941537 486840.262248079)",4893
"POINT (121420.670827106 486841.388478607)",4894
"POINT (121444.536437785 486879.004218964)",4895
"POINT (121416.527055084 486747.704749965)",4896
"POINT (121422.949273823 486751.945045819)",4897
"POINT (121430.040862448 486756.228511359)",4898
"POINT (121437.064357357 486760.766106112)",4899
"POINT (121444.096975094 486764.761395582)",4900
"POINT (121454.105266012 486771.12016977)",4901
"POINT (121463.233227517 486776.698310666)",4902
"POINT (121469.100678958 486780.721863354)",4903
"POINT (121476.502028497 486784.611673062)",4904
"POINT (121482.056379839 486788.278955963)",4905
"POINT (121488.720265774 486792.379725196)",4906
"POINT (121496.518610332 486797.329221437)",4907
"POINT (121502.686699859 486801.501423574)",4908
"POINT (121523.279633834 486814.101030171)",4909
"POINT (121427.647804535 486773.291659847)",4910
"POINT (121432.529446802 486776.165847441)",4911
"POINT (121437.169421873 486779.179561656)",4912
"POINT (121441.982970423 486782.307878462)",4913
"POINT (121446.703501226 486785.275083804)",4914
"POINT (121454.67875845 486791.089108255)",4915
"POINT (121467.842079669 486798.633738849)",4916
"POINT (121476.127097807 486804.054107468)",4917
"POINT (121479.84935742 486805.664327379)",4918
"POINT (121484.036705769 486808.08010461)",4919
"POINT (121488.456598487 486810.898660503)",4920
"POINT (121494.367219615 486814.252843303)",4921
"POINT (121501.480393085 486818.2016239)",4922
"POINT (121515.75992727 486827.679592065)",4923
"POINT (121531.955448103 486839.918039967)",4924
"POINT (121536.937681224 486847.245272405)",4925
"POINT (121541.606814244 486854.216235056)",4926
"POINT (121545.712057139 486861.512759822)",4927
"POINT (121550.220078695 486868.57674022)",4928
"POINT (121554.449047009 486875.157386226)",4929
"POINT (121559.236121807 486882.704701017)",4930
"POINT (121566.193312463 486893.080589261)",4931
"POINT (121574.750945213 486907.902843975)",4932
"POINT (121581.419959799 486918.337703108)",4933
"POINT (121585.16559372 486925.197402355)",4934
"POINT (121507.061383079 486950.93066177)",4935
"POINT (121510.968783454 486950.071022468)",4936
"POINT (121515.511506858 486949.38161746)",4937
"POINT (121559.483913049 486986.290569765)",4938
"POINT (121578.460954737 486936.560010567)",4939
"POINT (121582.436448829 486935.446242054)",4940
"POINT (121586.830522784 486935.05747513)",4941
"POINT (121591.289351269 486933.664653376)",4942
"POINT (121594.371398944 486939.188952035)",4943
"POINT (121600.929150127 486950.547310267)",4944
"POINT (121608.054130622 486962.330032003)",4945
"POINT (121613.901786685 486972.272433915)",4946
"POINT (121617.529478828 486978.555781022)",4947
"POINT (121619.625717329 486982.930714588)",4948
"POINT (121607.584632462 486986.445593606)",4949
"POINT (121602.884136781 486987.977941981)",4950
"POINT (121598.682776694 486990.188783072)",4951
"POINT (121593.27552508 486991.055100748)",4952
"POINT (121590.518144788 486983.302610073)",4953
"POINT (121588.097478647 486991.574271464)",4954
"POINT (121585.621835794 486992.681361603)",4955
"POINT (121581.580452697 486981.588699865)",4956
"POINT (121580.914661739 486992.713858739)",4957
"POINT (121577.332583736 486983.718985224)",4958
"POINT (121575.725048023 486995.817491258)",4959
"POINT (121555.004634196 487001.228561544)",4960
"POINT (121551.054064134 487002.757570733)",4961
"POINT (121545.8815616 486991.566107607)",4962
"POINT (121544.891103259 487004.919458496)",4963
"POINT (121540.280286138 487005.862992716)",4964
"POINT (121536.682646676 487006.328976185)",4965
"POINT (121533.621528855 487008.096313383)",4966
"POINT (121542.650688971 487014.805573717)",4967
"POINT (121546.00332205 487013.729191249)",4968
"POINT (121549.414926017 487012.940984852)",4969
"POINT (121553.18452963 487011.314798842)",4970
"POINT (121557.044693616 487009.796633682)",4971
"POINT (121560.25937145 487009.006390906)",4972
"POINT (121564.754963671 487007.358194937)",4973
"POINT (121568.844029081 487005.826290406)",4974
"POINT (121573.216953399 487005.196252193)",4975
"POINT (121577.31975818 487003.893249085)",4976
"POINT (121580.698322031 487002.77155282)",4977
"POINT (121583.721635104 487001.854960687)",4978
"POINT (121586.95005231 487001.293619333)",4979
"POINT (121590.417428856 487000.120647034)",4980
"POINT (121626.83556589 486994.488826227)",4981
"POINT (121600.304367469 487009.451369998)",4982
"POINT (121597.52369519 487010.583124182)",4983
"POINT (121593.926287834 487011.120668246)",4984
"POINT (121590.44885337 487012.891532118)",4985
"POINT (121588.112244564 487013.766906136)",4986
"POINT (121584.733680713 487014.888602401)",4987
"POINT (121581.378914151 487015.641308516)",4988
"POINT (121577.752680546 487016.846788517)",4989
"POINT (121573.257088325 487018.494984486)",4990
"POINT (121570.144962557 487019.462852652)",4991
"POINT (121566.930284724 487020.253095428)",4992
"POINT (121563.640533567 487021.323515661)",4993
"POINT (121560.617220494 487022.240107793)",4994
"POINT (121556.692041102 487023.440558836)",4995
"POINT (121552.655599232 487023.935537279)",4996
"POINT (121548.973060635 487025.351150372)",4997
"POINT (121543.792604873 487027.453960954)",4998
"POINT (121537.438322528 487028.754269051)",4999
"POINT (121555.01873575 487041.873138753)",5000
"POINT (121558.574924991 487040.648890421)",5001
"POINT (121561.915952181 487039.667282884)",5002
"POINT (121566.667924568 487038.463150388)",5003
"POINT (121571.597522344 487037.156465826)",5004
"POINT (121577.135069612 487035.261947609)",5005
"POINT (121581.668198494 487033.473662913)",5006
"POINT (121584.831600295 487032.594607441)",5007
"POINT (121588.910607786 487031.660594483)",5008
"POINT (121593.43367875 487030.470201359)",5009
"POINT (121596.470731195 487029.782510649)",5010
"POINT (121600.925105301 487027.447610413)",5011
"POINT (121606.069865128 487025.898285056)",5012
"POINT (121610.592936092 487024.707891933)",5013
"POINT (121616.602025577 487023.014796395)",5014
"POINT (121623.055178534 487021.065320691)",5015
"POINT (121628.377563751 487019.413443269)",5016
"POINT (121638.349369288 487016.379807961)",5017
"POINT (121643.045315416 487019.1751928)",5018
"POINT (121645.20394515 487022.795332338)",5019
"POINT (121647.238036399 487026.555915401)",5020
"POINT (121649.331486066 487030.419310259)",5021
"POINT (121651.689917743 487034.266800077)",5022
"POINT (121642.045204766 487039.286848134)",5023
"POINT (121639.172296135 487040.602816719)",5024
"POINT (121635.815007735 487042.266983292)",5025
"POINT (121631.089355911 487044.172845279)",5026
"POINT (121626.885715585 487045.914406182)",5027
"POINT (121621.359296085 487048.214050406)",5028
"POINT (121615.955284197 487049.894692984)",5029
"POINT (121608.86865185 487052.341173346)",5030
"POINT (121588.155612806 487056.828861527)",5031
"POINT (121568.382796024 487064.132230792)",5032
"POINT (121571.530770055 487063.411406291)",5033
"POINT (121602.245437531 487087.76257979)",5034
"POINT (121598.512402806 487089.369518817)",5035
"POINT (121592.3828867 487091.811737437)",5036
"POINT (121616.842204665 487108.533682331)",5037
"POINT (121633.416436476 487067.435594456)",5038
"POINT (121605.56037349 487065.012176696)",5039
"POINT (121611.998324983 487062.391882823)",5040
"POINT (121620.702397724 487059.422819996)",5041
"POINT (121628.959151459 487055.204110582)",5042
"POINT (121632.708091225 487053.862153565)",5043
"POINT (121636.073332145 487052.330477996)",5044
"POINT (121640.450256009 487072.970384452)",5045
"POINT (121665.924294745 487059.633765274)",5046
"POINT (121677.84681326 487078.384703724)",5047
"POINT (121694.36497044 487133.824996104)",5048
"POINT (121661.450850686 487151.25152447)",5049
"POINT (121658.318781695 487152.237330979)",5050
"POINT (121653.336100382 487154.291589011)",5051
"POINT (121649.007921571 487156.173593438)",5052
"POINT (121644.604479303 487157.687804061)",5053
"POINT (121640.37329064 487159.856517186)",5054
"POINT (121636.537444119 487161.52281463)",5055
"POINT (121632.223039478 487163.191242946)",5056
"POINT (121628.490004753 487164.798181972)",5057
"POINT (121623.001216981 487167.281723098)",5058
"POINT (121617.096920284 487169.045581655)",5059
"POINT (121612.635526514 487162.505389331)",5060
"POINT (121609.110093262 487157.82376185)",5061
"POINT (121606.039360571 487152.742530484)",5062
"POINT (121622.165478418 487144.94001834)",5063
"POINT (121623.033610279 487136.807095466)",5064
"POINT (121615.769532393 487130.537843459)",5065
"POINT (121611.971317602 487132.388037805)",5066
"POINT (121608.127518561 487133.921844245)",5067
"POINT (121598.377862917 487138.522692599)",5068
"POINT (121595.881118587 487135.029222417)",5069
"POINT (121593.093403816 487130.67562614)",5070
"POINT (121589.783106582 487124.70458947)",5071
"POINT (121586.634979561 487118.777006178)",5072
"POINT (121583.194322193 487113.292480149)",5073
"POINT (121579.962979194 487106.864612047)",5074
"POINT (121574.573006462 487096.816604408)",5075
"POINT (121570.991905569 487091.207539894)",5076
"POINT (121567.85386194 487085.891005727)",5077
"POINT (121565.428802287 487065.426472688)",5078
"POINT (121558.077758895 487069.670599569)",5079
"POINT (121556.720467803 487067.438419273)",5080
"POINT (121555.363176711 487065.206238977)",5081
"POINT (121553.900942952 487062.554858978)",5082
"POINT (121551.96384185 487059.080984614)",5083
"POINT (121550.558835637 487056.05385829)",5084
"POINT (121548.508839348 487052.028293218)",5085
"POINT (121545.058098589 487045.932718063)",5086
"POINT (121533.259324806 487023.638723924)",5087
"POINT (121530.207571619 487018.851543063)",5088
"POINT (121525.134087737 487009.690053175)",5089
"POINT (121522.279301614 487003.997502499)",5090
"POINT (121519.077845312 486998.577070203)",5091
"POINT (121511.573634216 486985.205437281)",5092
"POINT (121508.972628278 486980.949668201)",5093
"POINT (121507.239716254 486977.200260465)",5094
"POINT (121504.669873485 486972.998467577)",5095
"POINT (121502.340985926 486969.089368677)",5096
"POINT (121499.808419058 486964.578181511)",5097
"POINT (121497.032659566 486959.27181433)",5098
