"lp","straaturi","year"
100096,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100097,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100099,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100100,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100101,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100102,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100103,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100104,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100105,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100106,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100107,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100109,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100110,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100111,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100112,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100113,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100114,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100115,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100116,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100117,"https://adamlink.nl/geo/street/oudezijds-armsteeg/3407",1876
100119,"https://adamlink.nl/geo/street/enge-kapelsteeg/7026",1876
100120,"https://adamlink.nl/geo/street/enge-kapelsteeg/7026",1876
100121,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100122,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100123,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100124,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100125,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100126,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100127,"https://adamlink.nl/geo/street/wijngaardsstraatje/5019",1876
100128,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
100129,"https://adamlink.nl/geo/street/warmoesstraat/4883",1876
