caswgt,volgnr1y,buurty,huisnry,lftmy,gebplmy,bersmy,berpmy,aboeky,relimy,bsmy,lftvy,relivy,gebplvy,nrkindy,nrbodey,nrhgy,relhfdy,grondbly,pbly,patbly,jrhu1y,bervamy,bervavy,bermhuy,bergt1y,relgt1y,bergt2y,relgt2y,bergt3y,relgt3y,bergt4y,relgt4y,hulftmy,hulftvy,volgnr2y,bsvy,gebplv1y,jrhu2y,bervam2y,bervav2y,bermhu2y,bergt12y,relgt12y,bergt22y,relgt22y,bergt32y,relgt32y,bergt42y,relgt42y,hulftm2y,hulftv2y,bsv2y,gebplv2y,jrhu3y,bervam3y,bervav3y,bermhu3y,bergt13y,relgt13y,bergt23y,relgt23y,bergt33y,relgt33y,bergt43y,relgt43y,hulftm3y,hulftv3y,bsv3y,gebplv3y,tot3bly,grblgy,pblgy,patblgy,omvhhy,berpm00y,berpm0y,totbly,lftklasy
1,118951,36,201,40,1,224,120,1,1,3,-1,-1,-1,0,2,2,2,0,153,15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,118952,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,168,1,5,2,5,1,12,2,4
1,119001,5,5,37,9,193,223,1,8,1,31,8,5,0,2,0,-1,0,106,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,135,1,5,3,4,2,22,2,3
1,119051,7,350,42,1,255,232,1,6,1,38,1,5,5,2,0,-1,0,142,0,1846,232,0,232,232,1,610,2,700,5,430,5,34,28,119052,1,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,142,1,5,1,9,2,23,2,4
1,119101,20,91,52,9,193,610,2,1,1,44,6,28,6,2,0,-1,58,50,46,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,154,4,4,3,10,6,61,2,5
1,119201,36,127,69,1,74,210,1,1,1,76,1,1,2,1,0,-1,94,92,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119202,-1,-1,1838,0,0,220,210,2,540,2,212,7,540,7,53,60,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,186,4,4,1,5,2,21,2,6
1,119251,12,53,42,1,21,210,1,8,1,38,8,1,3,2,0,-1,193,102,22,1840,0,680,610,441,5,540,5,610,2,112,2,29,24,119252,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,317,5,5,3,7,2,21,3,4
1,119301,27,191,70,1,360,540,3,6,3,-1,-1,-1,0,0,2,2,82,35,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119302,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,117,4,3,1,3,5,54,2,7
1,119351,35,346,39,1,190,610,1,1,1,36,1,1,2,3,0,-1,0,196,225,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,119352,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,421,1,5,5,7,6,61,3,3
1,119401,23,578,30,12,168,213,1,8,1,25,8,1,1,2,0,-1,0,76,87,1852,0,213,213,540,6,212,5,610,2,610,2,19,23,119402,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,163,1,4,4,5,2,21,2,3
1,119451,25,692,58,1,360,540,2,5,2,-1,-1,-1,3,4,0,-1,180,560,0,1818,540,0,540,540,1,610,2,610,6,540,6,23,21,119452,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,740,5,6,1,8,5,54,4,5
